127.0.0.1 - - [15/Oct/2024:11:12:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:12:48 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:12:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:04 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:04 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:31 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:41 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:52 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:52 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:55 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:13:59 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:00 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:03 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:06 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:07 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:09 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:56 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:14:59 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:08 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:08 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:10 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:39 +0530] "POST /Online_Music_Store/FeedBackInsertServlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:41 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 15024
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:44 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:45 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:47 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:15:52 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
