127.0.0.1 - - [20/Oct/2024:19:56:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Oct/2024:19:56:52 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:19:56:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:22:26 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:22:26 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:02 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:07 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:10 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:11 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:12 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:15 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:20 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:21 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:36 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:50 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:23:52 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:03 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:03 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:06 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:16 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:27 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:40 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:42 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:44 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:24:56 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:25:08 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:25:18 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:25:18 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:29:46 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:30:00 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:30:05 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:31:25 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:31:44 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:31:47 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:32:16 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:32:18 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:32:46 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:32:48 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:19 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:21 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:23 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:29 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:30 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:31 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:34 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:44 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:44 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:54 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:33:58 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:34:01 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:34:24 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:22 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:24 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:45 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:45 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:54 +0530] "GET /Online_Music_Store/PrivacyPolicy.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:56 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:35:58 +0530] "GET /Online_Music_Store/Terms.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:36:00 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:36:02 +0530] "GET /Online_Music_Store/ContactUs.jsp HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [20/Oct/2024:21:36:09 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:15:01 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:15:01 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:15:03 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:15:07 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:59:17 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:59:27 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:22:59:38 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:01 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:05 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:15 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:17 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:17 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:26 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:26 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:42 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:42 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:43 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:00:54 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:19 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:24 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3458
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:26 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:30 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:32 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:43 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:49 +0530] "GET /Online_Music_Store/PrivacyPolicy.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:55 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:01:58 +0530] "GET /Online_Music_Store/Terms.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:02 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:04 +0530] "GET /Online_Music_Store/ContactUs.jsp HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:07 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:11 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:15 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:28 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:28 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:46 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:02:57 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:03:00 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:03:05 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:03:08 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:03:11 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:03:12 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:27:19 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:40:57 +0530] "GET /Online_Music_Store/Register.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:42:20 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:42:40 +0530] "POST /Online_Music_Store/InsertUserServlet HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:42:41 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:00 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:00 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:07 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:09 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:56 +0530] "POST /Online_Music_Store/FeedBackInsertServlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [20/Oct/2024:23:43:57 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 15029
