127.0.0.1 - - [18/Oct/2024:21:45:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:45:58 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:45:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:46:19 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:46:19 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:46:54 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:46:58 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:01 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:09 +0530] "GET /Online_Music_Store/PrivacyPolicy.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:11 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:13 +0530] "GET /Online_Music_Store/Terms.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:15 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:17 +0530] "GET /Online_Music_Store/ContactUs.jsp HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:19 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:25 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:49 +0530] "POST /Online_Music_Store/FeedBackInsertServlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:51 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 15035
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:56 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:47:58 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:00 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:08 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:08 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:11 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:31 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:34 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:35 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 22630
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:39 +0530] "POST /Online_Music_Store/FeedBackDeleteServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:41 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:56 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:48:57 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:13 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:13 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:17 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:19 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:20 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:28 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:29 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:32 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:21:50:34 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:00:18 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:00:35 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:00:43 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:00:45 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:00:54 +0530] "GET /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:01:07 +0530] "POST /Online_Music_Store/UpdateProfileServlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:01:09 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:01:19 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:01:21 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:01:39 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:02:14 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:02:38 +0530] "POST /Online_Music_Store/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:02:38 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:03:15 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:03:41 +0530] "GET /Online_Music_Store/FetchUserServlet HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:03:46 +0530] "GET /Online_Music_Store/AdminGetAllFeedBackServlet HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:20 +0530] "GET /Online_Music_Store/AdminDashboardServlet HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:38 +0530] "GET /Online_Music_Store/AdminLogin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:40 +0530] "GET /Online_Music_Store/Login.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:48 +0530] "POST /Online_Music_Store/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:48 +0530] "GET /Online_Music_Store/HomeServlet HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:50 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:04:55 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:05:03 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:06:08 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:07:42 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:07:46 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:07:48 +0530] "GET /Online_Music_Store/UserProfileServlet HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:07:53 +0530] "GET /Online_Music_Store/InsertFeedback.jsp HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:08:00 +0530] "GET /Online_Music_Store/Home.jsp HTTP/1.1" 200 19897
0:0:0:0:0:0:0:1 - - [18/Oct/2024:22:19:23 +0530] "GET /Online_Music_Store/GetAllFeedBackServlet HTTP/1.1" 200 14651
